516,"","Abacavir"
600,"","Abatacept Injection"
3569,"","Abilify®"
320,"","Abobotulinum Toxin A Injection"
4350,"","Abraxane®"
319,"","Acamprosate"
317,"","Acarbose"
3486,"","Accolate®"
2583,"","Accuneb®"
3459,"","Accupril®"
952,"","Accutane®"
405,"","Acebutolol"
1756,"","Aceon®"
2798,"","Acephen® Rectal Suppository"
417,"","Acetaminophen"
396,"","Acetaminophen and Codeine"
292,"","Acetaminophen and Propoxyphene"
4733,"","Acetaminophen Injection"
384,"","Acetaminophen, Butalbital, and Caffeine"
554,"","Acetazolamide Oral"
2588,"","Aceta®"
3666,"","AcipHex®"
257,"","Acitretin"
1197,"","Acne-Clear®"
1198,"","Acnigel®"
2589,"","Actamin®"
3314,"","Acticort®"
4211,"","Actigall®"
2298,"","Actiq®"
4130,"","Actonel®"
2255,"","Actos®"
3686,"","Actron®"
2191,"","Acular®"
1834,"","Acuprin®"
192,"","Acyclovir"
312,"","Acyclovir Topical"
3748,"","Adalat®"
3749,"","Adalat® CC"
122,"","Adalimumab Injection"
392,"","Adapalene"
3433,"","Adapin®"
3705,"","Addaprin®"
690,"","Adefovir"
3658,"","Adipex-P®"
2590,"","Adprin B®"
4423,"","Adrenalin® Chloride Solution"
3917,"","Adrenocot®"
3706,"","Advil®"
4493,"","AeroBid-M® Inhaler System"
4492,"","AeroBid® Inhaler System"
3315,"","Aeroseb-HC®"
3750,"","Afeditab® CR"
1543,"","Afinitor®"
1609,"","Afrinol®"
2513,"","Afrin® products"
991,"","Aftate® for Athlete's Foot Aerosol Spray Liquid"
992,"","Aftate® for Athlete's Foot Aerosol Spray Powder"
993,"","Aftate® for Jock Itch Aerosol Spray Powder"
2504,"","Agenerase®"
4353,"","Agistam®"
3901,"","Agrylin®"
3918,"","AK-Dex®"
1957,"","AK-Pred®"
1926,"","AK-Sulf"
4075,"","AK-Tob®"
2164,"","AKBeta®"
1474,"","Akurza® Cream"
1475,"","Akurza® Lotion"
3316,"","Ala-Cort®"
3317,"","Ala-Scalp®"
4354,"","Alavert®"
2030,"","Albatussi®n EX"
144,"","Albendazole"
1527,"","Albenza®"
266,"","Albuterol"
812,"","Albuterol and Ipratropium Inhalation"
415,"","Albuterol Inhalation"
4758,"","Alcaftadine Ophthalmic"
3588,"","Aldactone®"
3418,"","Aldara®"
1461,"","Aldex® AN"
4308,"","Aldochlor® 250"
4309,"","Aldoril®"
12,"","Alefacept Injection"
487,"","Alemtuzumab Injection"
860,"","Alendronate"
4133,"","Aler-Dryl®"
4262,"","Aleve®"
11,"","Alfuzosin"
2820,"","Alimta®"
4209,"","Alinia®"
410,"","Aliskiren"
63,"","Alitretinoin"
3477,"","Alka-Mints®"
1140,"","Alka-Seltzer® Anti-Gas"
1357,"","Allegra®"
1365,"","Aller-Chlor®"
1989,"","Aller-Dryl® Spray"
2194,"","Aller-Tec"
4134,"","Allergia-C®"
1366,"","Allerlief®"
4135,"","Allermax®"
1718,"","AllerNaze® Nasal Inhaler"
2195,"","Alleroff"
2561,"","Alli®"
19,"","Allopurinol"
4272,"","Almora®"
211,"","Almotriptan"
2505,"","Alocril®"
3318,"","Aloe Cort®"
1789,"","Alomide®"
3798,"","Alophen®"
4105,"","Alora®"
614,"","Alosetron"
1680,"","Aloxi®"
2916,"","Alphagan P®"
3781,"","Alphatrex®"
536,"","Alprazolam"
3541,"","Alprazolam Intensol"
720,"","Alprostadil Urogenital"
4428,"","Alramucil®"
4340,"","Altabax®"
2019,"","Altace®"
4136,"","Altaryl®"
3462,"","Altazine®"
4101,"","AlternaGEL®"
2524,"","Altinac®"
3502,"","Altocor®"
3503,"","Altoprev®"
4102,"","Alu-Cap®"
4103,"","Alu-Tab®"
731,"","Aluminum Hydroxide"
140,"","Aluminum Hydroxide and Magnesium Hydroxide"
933,"","Alupent®"
934,"","Alupent® Inhalation Solution"
935,"","Alupent® Syrup"
985,"","Alvesco®"
771,"","Alvimopan"
232,"","Amantadine"
4334,"","Amaryl®"
3621,"","Ambien CR®"
3620,"","Ambien®"
1781,"","Amen®"
1795,"","Amerge®"
942,"","Amevive®"
3306,"","Amicar®"
1832,"","Amicar® Injection"
344,"","Amiloride and Hydrochlorothiazide"
466,"","Aminocaproic Acid"
259,"","Aminocaproic Acid Injection"
763,"","Aminolevulinic Acid Topical"
231,"","Aminophylline"
301,"","Amiodarone"
2276,"","Amitiza®"
728,"","Amitriptyline"
518,"","Amlexanox"
657,"","Amlodipine"
226,"","Amlodipine and Benazepril"
953,"","Amnesteem®"
327,"","Amoxapine"
602,"","Amoxicillin"
570,"","Amoxicillin and Clavulanic Acid"
3660,"","Amoxil®"
3661,"","Amoxil® Pediatric Drops"
4104,"","Amphojel®"
38,"","Ampicillin Oral"
387,"","Amprenavir"
3570,"","Amrix®"
2591,"","Anacin®"
1835,"","Anacin® Aspirin Regimen"
2297,"","Anafranil®"
689,"","Anagrelide"
184,"","Anakinra"
4263,"","Anaprox®"
4264,"","Anaprox® DS"
2805,"","Anaspaz®"
598,"","Anastrozole"
1364,"","Androderm®"
3651,"","Androgel®"
4672,"","Ansaid®"
1259,"","Antabuse®"
2876,"","Antara®"
1990,"","Anti-Itch® Cream"
1991,"","Anti-Itch® Spray"
68,"","Antipyrine-Benzocaine Otic"
3626,"","AntiRobe®"
1738,"","Antivert®"
3913,"","Anturane®"
3319,"","Anusol® HC"
4085,"","Anx®"
4333,"","Anzemet®"
2592,"","Apacet®"
2593,"","Apara®"
3499,"","Aphthasol®"
3841,"","Apidra®"
1497,"","Aplenzin®"
1544,"","Apokyn®"
150,"","Apomorphine"
831,"","Apraclonidine Ophthalmic"
2594,"","Apra®"
669,"","Aprepitant"
2901,"","Apresoline®"
4381,"","Aptivus®"
1356,"","Aquachloral Supprettes®"
1355,"","Aquachloral®"
3320,"","Aquanil® HC"
4230,"","Aquaphyllin®"
1013,"","Aquatensen®"
3643,"","Aralen® Phosphate"
1135,"","Aranesp®"
3585,"","Arava®"
1692,"","Aredia®"
626,"","Arformoterol Inhalation"
2832,"","Aricept®"
2833,"","Aricept® ODT"
3526,"","Aricin® Topical Cream and Ointment"
3655,"","Arimidex®"
540,"","Aripiprazole"
4699,"","Aristocort®"
3527,"","Aristocort® Topical Cream and Ointment"
4700,"","Aristopak®"
555,"","Armodafinil"
